"","TRANSACTION_DESCRIPTION","TRANSACTION_DATE"
"302","The Atlanta Dream extended a Reserved qualifying offer to Beatrice Mompremier.","2023-01-13"
"303","Danielle Robinson signed a Contract Amendment - Trade Bonus with the Indiana Fever.","2023-01-13"
"304","Kristy Wallace was traded from the Atlanta Dream to the Indiana Fever.","2023-01-13"
"305","Danielle Robinson was traded from the Indiana Fever to the Atlanta Dream.","2023-01-13"
"306","The New York Liberty extended a Reserved qualifying offer to Xu Han.","2023-01-12"
"307","The New York Liberty extended a Reserved qualifying offer to Marine Johannès.","2023-01-12"
"308","The New York Liberty extended a Reserved qualifying offer to Crystal Dangerfield.","2023-01-12"
"309","The Seattle Storm extended a Reserved qualifying offer to Ezi Magbegor.","2023-01-12"
"310","The Seattle Storm extended a Restricted qualifying offer to Gabby Williams.","2023-01-12"
"311","The Phoenix Mercury extended a Restricted qualifying offer to Sophie Cunningham.","2023-01-12"
"312","The Phoenix Mercury extended a Restricted qualifying offer to Megan Gustafson.","2023-01-12"
"313","The Phoenix Mercury extended a Restricted qualifying offer to Shey Peddy.","2023-01-12"
"314","The Phoenix Mercury extended a Reserved qualifying offer to Sam Thomas.","2023-01-12"
"315","The Connecticut Sun extended a Restricted qualifying offer to Natisha Hiedeman.","2023-01-11"
"316","The Connecticut Sun extended a Reserved qualifying offer to Joyner Holmes.","2023-01-11"
"317","The Dallas Wings extended a Restricted qualifying offer to Teaira McCowan.","2023-01-11"
"318","The Dallas Wings extended a Restricted qualifying offer to Marina Mabrey.","2023-01-11"
"319","The Indiana Fever extended a Reserved qualifying offer to Khayla Pointer.","2023-01-11"
"320","The Indiana Fever extended a Reserved qualifying offer to Rennia Davis.","2023-01-11"
"321","The Indiana Fever extended a Reserved qualifying offer to Temi Fagbenle.","2023-01-11"
"322","The Indiana Fever extended a Restricted qualifying offer to Emma Cannon.","2023-01-11"
"323","The Indiana Fever extended a Restricted qualifying offer to Victoria Vivians.","2023-01-11"
"324","The Chicago Sky extended a Reserved qualifying offer to Rebekah Gardner.","2023-01-11"
"325","Florencia Chagas was waived by the Indiana Fever.","2023-01-04"
"326","Florencia Chagas was set active.","2023-01-01"
"327","Bella Alarie was set active.","2023-01-01"
"328","Skylar Diggins-Smith was set active.","2023-01-01"
"329","Li Yueru was set active.","2023-01-01"
"330","The New York Liberty renounced their rights to Kylee Shook.","2023-01-01"
"331","The Los Angeles Sparks renounced their rights to Ivana Raca.","2022-12-31"
"332","The New York Liberty renounced their rights to Nayo Raincock-Ekunwe.","2022-12-31"
"333","Kaela Davis signed a Rest-of-Season Hardship Contract with the Phoenix Mercury.","2022-08-14"
"334","Yvonne Turner signed a Rest-of-Season Hardship Contract with the Phoenix Mercury.","2022-08-14"
"335","Jennie Simms signed a Rest-of-Season Hardship Contract with the Phoenix Mercury.","2022-08-14"
"336","The Phoenix Mercury released Kaela Davis.","2022-08-13"
"337","The Phoenix Mercury released Jennie Simms.","2022-08-13"
"338","The Phoenix Mercury released Yvonne Turner.","2022-08-13"
"339","Tiffany Hayes is temporarily suspended.","2022-08-12"
"340","Kaela Davis signed a Rest-of-Season Hardship Contract with the Phoenix Mercury.","2022-08-12"
"341","Maya Caldwell signed a Rest-of-Season Hardship Contract with the Atlanta Dream.","2022-08-11"
"342","Kaila Charles signed a Rest-of-Season Hardship Contract with the Atlanta Dream.","2022-08-11"
"343","Skylar Diggins-Smith is temporarily suspended.","2022-08-10"
"344","Li Yueru is temporarily suspended.","2022-08-10"
"345","The Connecticut Sun released Odyssey Sims.","2022-08-10"
"346","The Atlanta Dream released Maya Caldwell.","2022-08-10"
